crowd_score,gesture_score,face_score,speaker_sound_score,age,country,years_professional,tourn_entered,play_status,hole,ground,stroke,par_number,hole_yardage,hit_bunker,hit_fairway,green_in_regulation,putts,sand_save,player_rank,player_in_top10,player_tied,in_water,ball_position,shot_length,penalty,last_shot,is_eagle_or_better,is_birdie,is_par,is_bogey,is_double_bogey_or_worse,close_approach,long_putt,total_label
0,0.00561543,0,0.06607467,24,0,6,2,0,12,2,1,3,155,0,0,1,1,0,56,0,1,0,10,5526.2,0,0,0,0,0,0,0,0,0,1
1,0.60044851,0.29169139,0.5,40,4136,19,11,0,11,4,3,4,505,0,0,0,0,0,19,0,1,0,1,1475.8,0,1,0,1,0,0,0,1,0,4
0,0.0496302,0.37903046,0.078128,39,0,19,11,0,6,2,1,3,180,0,0,1,2,0,1,1,1,0,10,6373.7,0,0,0,0,0,0,0,0,0,0
1,0.60044851,0.29169139,0.5,40,4136,19,11,0,11,4,3,4,505,0,0,0,0,0,19,0,1,0,1,1475.8,0,1,0,1,0,0,0,1,0,4
0,0.00038046,0,0.07179067,23,41815,3,1,0,16,1,4,3,170,0,0,0,2,0,31,0,1,0,9,4647.4,0,0,0,0,0,0,0,0,0,0
0,0.16049061,0.04602733,0.162812,22,101417,7,1,0,11,2,2,4,505,0,0,0,2,0,51,0,1,0,8,4497,0,0,0,0,0,0,0,0,0,0
1,0.70212839,0.17680248,1,28,13817,12,9,0,18,3,3,4,465,0,1,1,1,0,2,1,0,0,3,209.6,0,1,0,1,0,0,0,1,0,4
0,0.00486481,0,0.09693867,37,2018,19,16,0,10,1,4,4,495,0,0,0,2,0,26,0,1,0,3,309.4,0,0,0,0,0,0,0,0,0,0
1,0.41639486,0,0.5,28,13817,12,9,0,2,4,2,5,575,0,1,1,2,0,2,1,0,0,1,7109.9,0,0,0,0,0,0,0,0,0,3
0,0.65450508,0,0.114064,35,0,14,9,0,12,1,1,3,155,1,0,0,2,0,27,0,1,0,10,5094.7,0,0,0,0,0,0,0,0,0,1
0,0.68019746,0.10047392,0.07588667,40,4136,19,11,0,11,1,2,4,505,0,1,1,1,0,53,0,1,0,1,7155,0,0,0,0,0,0,0,0,0,1
1,0.9642997,0.4,1,41,0,19,4,0,16,4,1,3,170,0,0,1,0,0,16,0,1,0,10,6465.6,0,1,1,0,0,0,0,1,0,4
0.59451298,0.00156001,0,0.16424069,24,2018,6,1,0,17,4,3,4,440,0,1,1,1,0,6,1,1,0,3,119.6,0,1,0,1,0,0,0,1,0,1
0.60348051,1,0,1,28,0,8,4,0,15,2,3,5,530,0,1,1,1,0,60,0,1,0,3,985.2,0,1,1,0,0,0,0,1,0,4
0.59337662,0.00299622,0.27258395,0.07352575,23,41815,3,1,0,13,4,2,5,510,0,1,1,2,0,4,1,0,0,1,6614.9,0,0,0,0,0,0,0,0,0,2
0.62470129,0.44009148,0.00952037,0.5,38,41815,20,19,1,15,1,1,5,530,0,1,0,1,0,47,0,1,0,10,11580.1,0,0,0,0,0,0,0,0,0,2
0,0.00125888,0.30656743,0.168036,35,0,14,9,0,16,3,3,3,170,0,0,1,3,0,18,0,1,0,3,102.5,0,0,0,0,0,0,0,1,0,0
0.8888961,1,0.39999998,0.70747284,40,4136,19,11,0,11,4,3,4,505,0,0,0,0,0,19,0,1,0,1,1475.8,0,1,0,1,0,0,0,1,0,4
1,0.70212839,0.17680248,1,28,13817,12,9,0,18,3,3,4,465,0,1,1,1,0,2,1,0,0,3,209.6,0,1,0,1,0,0,0,1,0,4
0.47076623,0.00362227,0,0.5,29,0,10,7,0,17,3,2,4,440,0,1,1,1,0,3,1,1,0,1,5396.5,0,0,0,0,0,0,0,0,0,2